PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=1 ttl=255 time=1249 ms
64 bytes from 192.168.4.2: icmp_seq=2 ttl=255 time=214 ms
64 bytes from 192.168.4.2: icmp_seq=3 ttl=255 time=13.7 ms
64 bytes from 192.168.4.2: icmp_seq=4 ttl=255 time=21.4 ms
64 bytes from 192.168.4.2: icmp_seq=5 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=6 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=7 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=8 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=9 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=10 ttl=255 time=29.0 ms
64 bytes from 192.168.4.2: icmp_seq=11 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=12 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=13 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=14 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=15 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=16 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=17 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=18 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=19 ttl=255 time=26.4 ms
64 bytes from 192.168.4.2: icmp_seq=20 ttl=255 time=19.5 ms
64 bytes from 192.168.4.2: icmp_seq=21 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=22 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=23 ttl=255 time=25.5 ms
64 bytes from 192.168.4.2: icmp_seq=24 ttl=255 time=18.4 ms
64 bytes from 192.168.4.2: icmp_seq=25 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=26 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=27 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=28 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=29 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=30 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=31 ttl=255 time=19.3 ms
64 bytes from 192.168.4.2: icmp_seq=32 ttl=255 time=23.5 ms
64 bytes from 192.168.4.2: icmp_seq=33 ttl=255 time=17.3 ms
64 bytes from 192.168.4.2: icmp_seq=34 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=35 ttl=255 time=20.3 ms
64 bytes from 192.168.4.2: icmp_seq=36 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=37 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=38 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=39 ttl=255 time=19.9 ms
64 bytes from 192.168.4.2: icmp_seq=40 ttl=255 time=18.3 ms
64 bytes from 192.168.4.2: icmp_seq=41 ttl=255 time=17.3 ms
64 bytes from 192.168.4.2: icmp_seq=42 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=43 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=44 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=45 ttl=255 time=21.0 ms
