64 bytes, from 192.168.4.2:, icmp_seq=1, ttl=255, time=1042 ms
64 bytes, from 192.168.4.2:, icmp_seq=2, ttl=255, time=40.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=3, ttl=255, time=14.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=4, ttl=255, time=13.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=5, ttl=255, time=17.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=6, ttl=255, time=16.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=7, ttl=255, time=15.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=8, ttl=255, time=14.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=9, ttl=255, time=13.4 ms
64 bytes, from 192.168.4.2:, icmp_seq=10, ttl=255, time=17.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=11, ttl=255, time=16.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=12, ttl=255, time=15.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=13, ttl=255, time=23.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=14, ttl=255, time=17.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=15, ttl=255, time=16.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=16, ttl=255, time=25.6 ms
64 bytes, from 192.168.4.2:, icmp_seq=17, ttl=255, time=14.2 ms
64 bytes, from 192.168.4.2:, icmp_seq=18, ttl=255, time=13.3 ms
64 bytes, from 192.168.4.2:, icmp_seq=19, ttl=255, time=16.7 ms
64 bytes, from 192.168.4.2:, icmp_seq=20, ttl=255, time=15.1 ms
64 bytes, from 192.168.4.2:, icmp_seq=21, ttl=255, time=14.0 ms
64 bytes, from 192.168.4.2:, icmp_seq=22, ttl=255, time=12.9 ms
64 bytes, from 192.168.4.2:, icmp_seq=23, ttl=255, time=16.0 ms
